year,relative_bus_and_coach_fares,relative_rail_fares,singleZ1toZ4Cash,singleZ1toZ4OysterPeak,busCash,singleBusOyster,capBusTram,travelcardZ1toZ4,capZ1toZ4PAYG,travelcard7DayZ1toZ4,weeklyBusAndTramPass
2000,204.2,205.8,2.6,,1.0,,,,,26.8,11.5
2001,212.8,213.7,2.7,,1.0,,,,,27.6,9.5
2002,219.3,218.6,2.7,,1.0,,,6.8,,28.1,8.5
2003,228.5,222.3,2.8,,1.0,,,7.0,,28.4,8.5
2004,240.2,230.8,3.0,2.8,1.0,0.7,,7.3,,29.2,9.5
2005,256.1,240.1,2.8,2.5,1.2,1.0,3.0,8.0,,30.4,11.0
2006,259.7,249.7,3.0,2.5,1.5,1.0,3.0,8.4,,31.6,13.5
2007,274.5,262.5,4.0,2.5,2.0,1.0,3.0,9.0,,33.2,14.0
2008,291.5,273.9,4.0,2.5,2.0,0.9,3.0,9.4,,34.6,13.0
2009,309.1,288.5,4.0,2.8,2.0,1.0,3.3,10.0,,36.8,13.8
2010,322.9,311.6,4.0,3.1,2.0,1.2,3.9,10.0,,36.8,16.6
2011,344.4,333.8,5.0,3.4,2.2,1.3,4.0,10.0,,39.4,17.8
2012,363.1,349.8,5.3,3.6,2.3,1.35,4.2,10.6,10.6,41.8,18.8
2013,372.4,364.5,5.5,3.8,2.4,1.4,4.4,11.0,10.6,43.6,19.6
2014,378.9,376.7,5.7,3.8,2.4,1.45,4.4,11.4,10.6,45.0,20.2
2015,391.4,384.6,5.8,3.9,,1.5,4.4,12.0,9.2,46.1,21.0
2016,406.6,385.6,5.9,3.9,,1.5,4.5,12.1,9.3,46.5,21.2
2017,464.5,396.4,5.9,3.9,,1.5,4.5,12.3,9.5,47.3,21.2
2018,486.5,408.6,5.9,3.9,,1.5,4.5,12.7,9.8,49.0,21.2
2019,498.5,425.1,5.9,3.9,,1.5,4.5,13.1,10.1,50.5,21.2
2020,534.1,434.6,5.9,3.9,,1.5,4.5,13.5,10.4,51.9,21.2
2021,580.1,446.4,6.0,4.0,,1.55,4.65,13.9,10.6,53.2,21.9
2022,599.9,471.0,6.3,4.3,,1.65,4.95,14.4,11.0,55.2,23.3
2023,595.7,494.0,6.7,4.4,,1.75,5.25,15.2,11.7,58.5,24.7
2024,622.5,512.8,6.7,4.4,,1.75,5.25,15.9,12.3,61.4,24.7
2025,,,7.0,4.6,,1.75,5.25,16.6,12.8,64.2,24.7
